Date,Open,High,Low,Close,Volume,Adj Close
2016-11-30,11500.00,11800.00,11300.00,11600.00,50400,11600.00
2016-11-29,11900.00,11900.00,11600.00,11600.00,30700,11600.00
2016-11-28,11600.00,11900.00,11600.00,11600.00,39900,11600.00
2016-11-25,11700.00,11700.00,11700.00,11700.00,40800,11700.00
2016-11-24,12300.00,12300.00,11700.00,11700.00,50800,11700.00
2016-11-23,12000.00,12200.00,11600.00,11900.00,37200,11900.00
2016-11-22,11800.00,12100.00,11800.00,11900.00,43500,11900.00
2016-11-21,12000.00,12000.00,11800.00,11800.00,36000,11800.00
2016-11-18,11800.00,11900.00,11300.00,11700.00,44900,11700.00
2016-11-17,12000.00,12000.00,11700.00,11900.00,35800,11900.00
2016-11-16,11200.00,12200.00,11200.00,12000.00,38900,12000.00
2016-11-15,11100.00,11500.00,11100.00,11200.00,52900,11200.00
2016-11-14,11000.00,11100.00,11000.00,11100.00,39000,11100.00
2016-11-11,11000.00,11100.00,10900.00,11100.00,48700,11100.00
2016-11-10,11000.00,11100.00,10900.00,11000.00,29500,11000.00
2016-11-09,11000.00,11000.00,10700.00,10900.00,48000,10900.00
2016-11-08,10900.00,11000.00,10900.00,11000.00,44300,11000.00
2016-11-07,10900.00,11000.00,10800.00,11000.00,43800,11000.00
2016-11-04,10900.00,11000.00,10900.00,11000.00,50100,11000.00
2016-11-03,10800.00,11200.00,10800.00,11000.00,71700,11000.00
2016-11-02,10900.00,10900.00,10800.00,10800.00,50200,10800.00
2016-11-01,10900.00,10900.00,10900.00,10900.00,54200,10900.00
2016-10-31,10900.00,11000.00,10900.00,10900.00,49500,10900.00
2016-10-28,10900.00,11000.00,10900.00,11000.00,46700,11000.00
2016-10-27,10900.00,10900.00,10800.00,10900.00,23000,10900.00
2016-10-26,11200.00,11200.00,10800.00,11000.00,32700,11000.00
2016-10-25,10900.00,11300.00,10800.00,11300.00,37500,11300.00
2016-10-24,11100.00,11200.00,11000.00,11000.00,41900,11000.00
2016-10-21,11300.00,11300.00,10800.00,11000.00,59100,11000.00
2016-10-20,10700.00,11500.00,10600.00,10800.00,56300,10800.00
2016-10-19,10700.00,10700.00,10600.00,10700.00,16100,10700.00
2016-10-18,10500.00,10700.00,10500.00,10700.00,84500,10700.00
2016-10-17,10600.00,10600.00,10500.00,10600.00,25000,10600.00
2016-10-14,10400.00,10500.00,10300.00,10500.00,17200,10500.00
2016-10-13,10400.00,10600.00,10300.00,10300.00,30900,10300.00
